SiteName,SiteAddress,SiteCity,PanelNum,PanelWatts,SensorNum,SensorTemp,SensorIrradiance,Date,Time
NW-Vista,100AeroSt,Boerne,1,0,10,40,3,2000-01-01,00:00
NW-Vista,100AeroSt,Boerne,1,0,20,41,4,2000-01-01,00:00
NW-Vista,100AeroSt,Boerne,2,0,30,40,3,2000-01-01,00:00
NW-Vista,100AeroSt,Boerne,2,0,40,40,3,2000-01-01,00:00
NW-Vista,100AeroSt,Boerne,3,0,50,40,3,2000-01-01,00:00
NW-Vista,100AeroSt,Boerne,3,0,60,40,4,2000-01-01,00:00
NW-Vista,100AeroSt,Boerne,4,0,70,40,3,2000-01-01,00:00
NW-Vista,100AeroSt,Boerne,4,0,80,40,4,2000-01-01,00:00
NW-Vista,100AeroSt,Boerne,1,50,10,50,23,2000-01-01,08:00
NW-Vista,100AeroSt,Boerne,1,50,20,51,28,2000-01-01,08:00
NW-Vista,100AeroSt,Boerne,2,51,30,50,24,2000-01-01,08:00
NW-Vista,100AeroSt,Boerne,2,51,40,50,19,2000-01-01,08:00
NW-Vista,100AeroSt,Boerne,3,50,50,50,23,2000-01-01,08:00
NW-Vista,100AeroSt,Boerne,3,50,60,50,15,2000-01-01,08:00
NW-Vista,100AeroSt,Boerne,4,55,70,51,30,2000-01-01,08:00
NW-Vista,100AeroSt,Boerne,4,55,80,50,26,2000-01-01,08:00
NW-Vista,100AeroSt,Boerne,1,110,10,60,55,2000-01-01,12:00
NW-Vista,100AeroSt,Boerne,1,110,20,61,56,2000-01-01,12:00
NW-Vista,100AeroSt,Boerne,2,100,30,60,49,2000-01-01,12:00
NW-Vista,100AeroSt,Boerne,2,100,40,60,60,2000-01-01,12:00
NW-Vista,100AeroSt,Boerne,3,134,50,61,57,2000-01-01,12:00
NW-Vista,100AeroSt,Boerne,3,134,60,60,58,2000-01-01,12:00
NW-Vista,100AeroSt,Boerne,4,150,70,61,60,2000-01-01,12:00
NW-Vista,100AeroSt,Boerne,4,150,80,60,49,2000-01-01,12:00
NW-Vista,100AeroSt,Boerne,1,20,10,55,10,2000-01-01,20:00
NW-Vista,100AeroSt,Boerne,1,20,20,53,9,2000-01-01,20:00
NW-Vista,100AeroSt,Boerne,2,21,30,56,10,2000-01-01,20:00
NW-Vista,100AeroSt,Boerne,2,21,40,55,11,2000-01-01,20:00
NW-Vista,100AeroSt,Boerne,3,20,50,54,10,2000-01-01,20:00
NW-Vista,100AeroSt,Boerne,3,20,60,55,11,2000-01-01,20:00
NW-Vista,100AeroSt,Boerne,4,24,70,56,13,2000-01-01,20:00
NW-Vista,100AeroSt,Boerne,4,24,80,55,12,2000-01-01,20:00
NW-Vista,100AeroSt,Boerne,1,0,10,50,5,2000-02-01,00:00
NW-Vista,100AeroSt,Boerne,1,0,20,51,3,2000-02-01,00:00
NW-Vista,100AeroSt,Boerne,2,0,30,50,4,2000-02-01,00:00
NW-Vista,100AeroSt,Boerne,2,0,40,50,3,2000-02-01,00:00
NW-Vista,100AeroSt,Boerne,3,0,50,50,3,2000-02-01,00:00
NW-Vista,100AeroSt,Boerne,3,0,60,50,3,2000-02-01,00:00
NW-Vista,100AeroSt,Boerne,4,0,70,50,5,2000-02-01,00:00
NW-Vista,100AeroSt,Boerne,4,0,80,50,3,2000-02-01,00:00
NW-Vista,100AeroSt,Boerne,1,55,10,60,30,2000-02-01,08:00
NW-Vista,100AeroSt,Boerne,1,55,20,65,32,2000-02-01,08:00
NW-Vista,100AeroSt,Boerne,2,61,30,60,30,2000-02-01,08:00
NW-Vista,100AeroSt,Boerne,2,61,40,60,28,2000-02-01,08:00
NW-Vista,100AeroSt,Boerne,3,56,50,60,31,2000-02-01,08:00
NW-Vista,100AeroSt,Boerne,3,56,60,60,29,2000-02-01,08:00
NW-Vista,100AeroSt,Boerne,4,60,70,61,34,2000-02-01,08:00
NW-Vista,100AeroSt,Boerne,4,60,80,60,36,2000-02-01,08:00
NW-Vista,100AeroSt,Boerne,1,120,10,68,60,2000-02-01,12:00
NW-Vista,100AeroSt,Boerne,1,120,20,71,62,2000-02-01,12:00
NW-Vista,100AeroSt,Boerne,2,112,30,65,64,2000-02-01,12:00
NW-Vista,100AeroSt,Boerne,2,112,40,71,65,2000-02-01,12:00
NW-Vista,100AeroSt,Boerne,3,147,50,68,61,2000-02-01,12:00
NW-Vista,100AeroSt,Boerne,3,147,60,70,59,2000-02-01,12:00
NW-Vista,100AeroSt,Boerne,4,138,70,69,60,2000-02-01,12:00
NW-Vista,100AeroSt,Boerne,4,138,80,69,67,2000-02-01,12:00
NW-Vista,100AeroSt,Boerne,1,30,10,56,20,2000-02-01,20:00
NW-Vista,100AeroSt,Boerne,1,30,20,54,19,2000-02-01,20:00
NW-Vista,100AeroSt,Boerne,2,25,30,57,19,2000-02-01,20:00
NW-Vista,100AeroSt,Boerne,2,25,40,53,21,2000-02-01,20:00
NW-Vista,100AeroSt,Boerne,3,29,50,55,18,2000-02-01,20:00
NW-Vista,100AeroSt,Boerne,3,29,60,53,22,2000-02-01,20:00
NW-Vista,100AeroSt,Boerne,4,33,70,57,25,2000-02-01,20:00
NW-Vista,100AeroSt,Boerne,4,33,80,56,24,2000-02-01,20:00
NW-Vista,100AeroSt,Boerne,1,0,10,55,5,2000-03-01,00:00
NW-Vista,100AeroSt,Boerne,1,0,20,56,3,2000-03-01,00:00
NW-Vista,100AeroSt,Boerne,2,0,30,54,5,2000-03-01,00:00
NW-Vista,100AeroSt,Boerne,2,0,40,55,3,2000-03-01,00:00
NW-Vista,100AeroSt,Boerne,3,0,50,56,5,2000-03-01,00:00
NW-Vista,100AeroSt,Boerne,3,0,60,55,3,2000-03-01,00:00
NW-Vista,100AeroSt,Boerne,4,0,70,54,4,2000-03-01,00:00
NW-Vista,100AeroSt,Boerne,4,0,80,55,3,2000-03-01,00:00
NW-Vista,100AeroSt,Boerne,1,59,10,63,30,2000-03-01,08:00
NW-Vista,100AeroSt,Boerne,1,59,20,65,36,2000-03-01,08:00
NW-Vista,100AeroSt,Boerne,2,56,30,64,32,2000-03-01,08:00
NW-Vista,100AeroSt,Boerne,2,56,40,64,29,2000-03-01,08:00
NW-Vista,100AeroSt,Boerne,3,54,50,64,30,2000-03-01,08:00
NW-Vista,100AeroSt,Boerne,3,54,60,63,35,2000-03-01,08:00
NW-Vista,100AeroSt,Boerne,4,60,70,64,31,2000-03-01,08:00
NW-Vista,100AeroSt,Boerne,4,60,80,64,38,2000-03-01,08:00
NW-Vista,100AeroSt,Boerne,1,123,10,60,55,2000-03-01,12:00
NW-Vista,100AeroSt,Boerne,1,123,20,61,56,2000-03-01,12:00
NW-Vista,100AeroSt,Boerne,2,136,30,60,49,2000-03-01,12:00
NW-Vista,100AeroSt,Boerne,2,136,40,60,60,2000-03-01,12:00
NW-Vista,100AeroSt,Boerne,3,145,50,61,57,2000-03-01,12:00
NW-Vista,100AeroSt,Boerne,3,145,60,60,58,2000-03-01,12:00
NW-Vista,100AeroSt,Boerne,4,137,70,61,60,2000-03-01,12:00
NW-Vista,100AeroSt,Boerne,4,137,80,60,49,2000-03-01,12:00
NW-Vista,100AeroSt,Boerne,1,30,10,55,19,2000-03-01,20:00
NW-Vista,100AeroSt,Boerne,1,30,20,53,17,2000-03-01,20:00
NW-Vista,100AeroSt,Boerne,2,28,30,56,18,2000-03-01,20:00
NW-Vista,100AeroSt,Boerne,2,28,40,55,20,2000-03-01,20:00
NW-Vista,100AeroSt,Boerne,3,29,50,54,19,2000-03-01,20:00
