date,time,Zenith ,Azimuth ,ETR ,ETRN,Glo_Mod ,Glo_ Mod_Unc ,Glo_Mod_ Source,Dir_Mod ,Dir_Mod_Unc ,Dir_Mod_Source,Dif_Mod ,Dif_Mod_Unc ,Dif_Mod_Source,Meas_Glo ,Meas_Glo_Flg,Meas_Dir ,Meas_Dir_Flg,Meas_Dif ,Meas_Dif_Flg,TotCC ,Precip_Wat ,Precip_Wat_Flg,AOD ,AOD_Flg
1/1/1991,1:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,1.1,1,0.111,1
1/1/1991,2:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,1.1,1,0.111,1
1/1/1991,3:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,6,1.2,1,0.111,1
1/1/1991,4:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,7,1.2,1,0.111,1
1/1/1991,5:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,8,1.2,1,0.111,1
1/1/1991,6:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,1.3,1,0.111,1
1/1/1991,7:00,89.7,117.8,0,59,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,9,1.3,1,0.2,1
1/1/1991,8:00,84.5,122.4,136,1415,35,10,1,2,16,1,35,10,1,-9900,99,-9900,99,-9900,99,9,1.4,1,0.2,1
1/1/1991,9:00,74.7,132.1,373,1415,126,10,1,49,16,1,113,10,1,-9900,99,-9900,99,-9900,99,8,1.5,1,0.2,1
1/1/1991,10:00,66.3,143.8,568,1415,329,25,1,460,28,1,145,25,1,-9900,99,-9900,99,-9900,99,2,1.5,1,0.2,1
1/1/1991,11:00,60.2,157.6,702,1415,403,25,1,513,28,1,148,25,1,-9900,99,-9900,99,-9900,99,3,1.6,1,0.2,1
1/1/1991,12:00,57.1,173.3,769,1415,355,10,1,238,16,1,226,10,1,-9900,99,-9900,99,-9900,99,7,1.6,1,0.2,1
1/1/1991,13:00,57.4,189.7,762,1415,485,10,1,614,16,1,154,10,1,-9900,99,-9900,99,-9900,99,4,1.7,1,0.2,1
1/1/1991,14:00,61.1,205.1,683,1415,391,10,1,503,16,1,149,10,1,-9900,99,-9900,99,-9900,99,4,1.8,1,0.2,1
1/1/1991,15:00,67.7,218.6,536,1415,272,10,1,369,16,1,132,10,1,-9900,99,-9900,99,-9900,99,4,1.8,1,0.2,1
1/1/1991,16:00,76.4,229.8,333,1415,157,10,1,332,16,1,79,10,1,-9900,99,-9900,99,-9900,99,2,1.9,1,0.2,1
1/1/1991,17:00,85.7,238.8,93,1238,24,10,1,15,16,1,23,10,1,-9900,99,-9900,99,-9900,99,3,1.9,1,0.2,1
1/1/1991,18:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,2,2,1,0.2,1
1/1/1991,19:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,3,2,1,0.2,1
1/1/1991,20:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,4,2.1,1,0.2,1
1/1/1991,21:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,6,2.2,1,0.2,1
1/1/1991,22:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,7,2.2,1,0.2,1
1/1/1991,23:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,2.3,1,0.2,1
1/1/1991,24:00:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,2.3,1,0.2,1
1/2/1991,1:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,2.4,1,0.2,1
1/2/1991,2:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,2.5,1,0.2,1
1/2/1991,3:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,7,2.5,1,0.2,1
1/2/1991,4:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,8,2.6,1,0.2,1
1/2/1991,5:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.2,1
1/2/1991,6:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.2,1
1/2/1991,7:00,89.8,117.7,0,59,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.083,1
1/2/1991,8:00,84.5,122.2,135,1415,26,10,1,0,16,1,26,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.083,1
1/2/1991,9:00,74.7,132,373,1415,65,10,1,0,16,1,65,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.083,1
1/2/1991,10:00,66.3,143.6,568,1415,111,10,1,0,16,1,111,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.083,1
1/2/1991,11:00,60.2,157.4,703,1415,145,10,1,0,16,1,145,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.083,1
1/2/1991,12:00,57,173.2,770,1415,162,10,1,0,16,1,162,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.083,1
1/2/1991,13:00,57.3,189.6,764,1415,160,10,1,0,16,1,160,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.083,1
1/2/1991,14:00,61,205,685,1415,265,10,1,32,16,1,250,10,1,-9900,99,-9900,99,-9900,99,9,2.6,1,0.083,1
1/2/1991,15:00,67.6,218.5,539,1415,272,10,1,242,16,1,179,10,1,-9900,99,-9900,99,-9900,99,9,2.7,1,0.083,1
1/2/1991,16:00,76.2,229.8,336,1415,62,10,1,76,16,1,44,10,1,-9900,99,-9900,99,-9900,99,8,2.7,1,0.083,1
1/2/1991,17:00,85.6,238.8,96,1238,27,10,1,16,16,1,26,10,1,-9900,99,-9900,99,-9900,99,9,2.7,1,0.083,1
1/2/1991,18:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/2/1991,19:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/2/1991,20:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/2/1991,21:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/2/1991,22:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/2/1991,23:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/2/1991,24:00:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/3/1991,1:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/3/1991,2:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/3/1991,3:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/3/1991,4:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/3/1991,5:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/3/1991,6:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.083,1
1/3/1991,7:00,89.8,117.6,0,59,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,8:00,84.5,122.1,135,1415,22,10,1,0,16,1,22,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,9:00,74.7,131.8,373,1415,62,10,1,0,16,1,62,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,10:00,66.3,143.5,568,1415,108,10,1,0,16,1,108,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,11:00,60.1,157.3,705,1415,142,10,1,0,16,1,142,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,12:00,56.9,173,772,1415,159,10,1,0,16,1,159,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,13:00,57.2,189.5,767,1415,158,10,1,0,16,1,158,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,14:00,60.9,205,688,1415,138,10,1,0,16,1,138,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,15:00,67.4,218.5,543,1415,101,10,1,0,16,1,101,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,16:00,76.1,229.8,340,1415,55,10,1,0,16,1,55,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,17:00,85.5,238.8,99,1262,16,10,1,0,16,1,16,10,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,18:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,19:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,20:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,21:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,22:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,23:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/3/1991,24:00:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/4/1991,1:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/4/1991,2:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/4/1991,3:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/4/1991,4:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/4/1991,5:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/4/1991,6:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.8,1,0.101,1
1/4/1991,7:00,89.8,117.4,0,59,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.121,1
1/4/1991,8:00,84.5,121.9,134,1415,19,10,1,0,16,1,19,10,1,-9900,99,-9900,99,-9900,99,10,2.7,1,0.121,1
1/4/1991,9:00,74.7,131.7,373,1415,49,10,1,0,16,1,49,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.121,1
1/4/1991,10:00,66.3,143.3,569,1415,88,10,1,0,16,1,88,10,1,-9900,99,-9900,99,-9900,99,10,2.6,1,0.121,1
1/4/1991,11:00,60.1,157.1,706,1415,116,10,1,0,16,1,116,10,1,-9900,99,-9900,99,-9900,99,10,2.5,1,0.121,1
1/4/1991,12:00,56.8,172.9,774,1415,271,10,1,159,16,1,184,10,1,-9900,99,-9900,99,-9900,99,10,2.5,1,0.121,1
1/4/1991,13:00,57.1,189.3,769,1415,364,10,1,218,16,1,245,10,1,-9900,99,-9900,99,-9900,99,10,2.4,1,0.121,1
1/4/1991,14:00,60.7,204.9,691,1415,113,10,1,0,16,1,113,10,1,-9900,99,-9900,99,-9900,99,10,2.4,1,0.121,1
1/4/1991,15:00,67.3,218.4,546,1415,83,10,1,0,16,1,83,10,1,-9900,99,-9900,99,-9900,99,10,2.4,1,0.121,1
1/4/1991,16:00,75.9,229.8,343,1415,61,10,1,21,16,1,56,10,1,-9900,99,-9900,99,-9900,99,10,2.3,1,0.121,1
1/4/1991,17:00,85.5,238.9,102,1285,15,10,1,0,16,1,15,10,1,-9900,99,-9900,99,-9900,99,10,2.3,1,0.121,1
1/4/1991,18:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.2,1,0.121,1
1/4/1991,19:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.2,1,0.121,1
1/4/1991,20:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,2.1,1,0.121,1
1/4/1991,21:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.1,1,0.121,1
1/4/1991,22:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2,1,0.121,1
1/4/1991,23:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,2,1,0.121,1
1/4/1991,24:00:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,2,1,0.121,1
1/5/1991,1:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.121,1
1/5/1991,2:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.121,1
1/5/1991,3:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,1.8,1,0.121,1
1/5/1991,4:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.121,1
1/5/1991,5:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,1.7,1,0.121,1
1/5/1991,6:00,99,-99,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,1.7,1,0.121,1
1/5/1991,7:00,89.8,117.3,0,59,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.109,1
1/5/1991,8:00,84.6,121.8,134,1415,15,10,1,0,16,1,15,10,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.109,1
1/5/1991,9:00,74.7,131.5,374,1415,42,10,1,0,16,1,42,10,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.109,1
1/5/1991,10:00,66.2,143.1,570,1415,319,10,1,455,16,1,135,10,1,-9900,99,-9900,99,-9900,99,5,1.6,1,0.109,1
1/5/1991,11:00,60,157,707,1415,430,10,1,476,16,1,192,10,1,-9900,99,-9900,99,-9900,99,8,1.6,1,0.109,1
1/5/1991,12:00,56.7,172.8,776,1415,437,10,1,160,16,1,349,10,1,-9900,99,-9900,99,-9900,99,7,1.6,1,0.109,1
1/5/1991,13:00,57,189.2,772,1415,418,10,1,174,16,1,324,10,1,-9900,99,-9900,99,-9900,99,8,1.6,1,0.109,1
